2024-03-25 11:57:55,122 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:55,320 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:55,822 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:56,321 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:56,821 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:57,320 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:57,820 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:58,320 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:58,821 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:59,320 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:59,820 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:58:00,321 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:58:00,821 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:58:01,320 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:58:01,821 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
